ensembl_gene_id,external_gene_name,Bazzini_ActD_HEK293_1,Bazzini_ActD_HeLa_1,Bazzini_ActD_RPE_1,Bazzini_4sU_K562_1,Akimitsu_BrU_HeLa_1,Rinn_ActD_K562_1,Rinn_ActD_K562_2,Rinn_ActD_K562_3,Rinn_ActD_H1ESC_1,Rinn_ActD_H1ESC_2,Rinn_ActD_H1ESC_3,Akimitsu2_BrU4sU_HeLa_1,Jaffrey_ActD_HEK293_1,Cramer_4sU_K562_1,Shendure_4sU_A549_1,Cramer2_4sU_K562_1,Oberdoerffer_BrU_HeLa_1,Dieterich_4sU_HEK293_1,Dieterich_4sU_HEK293_2,Dieterich_4sU_MCF7_1,Dieterich_4sU_MCF7_2,He_ActD_HeLa_1,He_ActD_HeLa_2,Marks_ActD_HeLa_1,Darnell_ActD_HepG2_1,Mortazavi_4sU_GM12878_1,Rissland2_ActD_HEK293_1,Rissland2_ActD_HEK293_2,Rissland2_Aman_HEK293_1,Rissland2_Aman_HEK293_2,Rissland2_4sU_HEK293_1,Rissland2_4sU_HEK293_2,Zimmer_ActD_Bcell_1,Gejman_4sU_GM07029_1,Gejman_4sU_GM07029_2,Gejman_4sU_GM07029_3,Gejman_4sU_GM10835_1,Gejman_4sU_GM10835_2,Gejman_4sU_GM10835_3,Gejman_4sU_GM12813_1,Gejman_4sU_GM12813_2,Gejman_4sU_GM12813_3,Gejman_4sU_GM12813_4,Gejman_4sU_GM12813_5,Gejman_4sU_GM07019_1,Gejman_4sU_GM12812_1,Gejman_4sU_GM12814_1,Gejman_4sU_GM12815_1,Simon_4sU_K562_1,Simon_4sU_K562_2,Rissland_4sU_HEK293_1,Rissland_4sU_HEK293_2,Rissland_4sU_HEK293_3,Rissland_4sU_HEK293_4
ENSG00000001460,STPG1,-0.044891797675565,0.099107539058154,0.008546967850081,0.714168099759328,0.465382851448418,0.480917144058961,0.414772022525185,0.509142416118267,0.597998099366731,0.560477412828011,0.563220905424451,NA,1.1708399334255,NA,0.215451409195126,1.02779359226641,0.453268098988149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877311694451679,0.444522462615687,0.903230247515488,0.644810753391589,0.452333658552876,1.48500147467354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09598032330908,-0.464750831129255,0.0308340077864313,1.09836206737536
ENSG00000001461,NIPAL3,0.021410315016479,0.025742611202544,-0.035143708045046,1.08263155222047,0.91539983521227,0.43745041552974,0.447608223345645,0.490907548684359,0.516727557904694,0.618786292844166,0.565556696612111,NA,NA,NA,0.568513626449076,1.30755172024887,0.523368190858591,NA,NA,NA,NA,0.612276561471075,0.819618982379551,0.0014,NA,0.792664295970027,1.10264554512222,1.10823002250785,1.0063780611967,0.955078428184625,0.705806815561084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47155290332711,0.322776339826974,0.206533356815654,1.15347040936283
ENSG00000001497,LAS1L,0.04584265219736,-0.054818766568283,-0.035806597903489,NA,1.16583762469013,1.21429851920345,1.19423258347545,1.27737126117419,1.31012081324313,1.38789608938101,1.40336609418478,NA,NA,3.00062623422363,1.22695627142586,NA,0.773887510160234,2.66840309804001,2.63791853718408,2.88051752825591,2.78824985293788,0.905412836938788,1.43330510418288,-6e-04,NA,1.37320618151722,1.68355777152367,1.41353541403881,1.50251764369407,1.3683627725248,0.941196336178576,NA,2.75158700508231,0.725094521081469,0.831229693867063,0.8109042806687,0.845718017966659,0.773786444981194,0.819543935541869,0.822821645303105,0.733197265106569,0.731588765186739,0.676693609624867,0.736396502276642,0.742725131304698,0.640481436970422,0.629409599102719,0.750508394851346,0.665308885490581,0.75137919578641,1.41088648643903,1.04842840974866,1.63126496574459,1.54895110270276
ENSG00000001561,ENPP4,0.005633731592289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82951344266376,1.84377597219158,2.88340589320284,2.89883510768536,NA,NA,NA,NA,0.642605848645707,1.28874926575777,1.05677972977321,1.10553069082268,1.0897514604777,0.599994618769308,NA,2.42618582524451,0.65417654187796,0.588831725594207,0.619093330626743,0.639486489268586,0.445604203273598,0.513217600067939,0.534026106056135,0.489958479424835,0.562292864456475,0.525044807036845,0.585460729508501,0.643452676486187,0.720985744153739,0.555094448578319,0.66838591669,NA,NA,0.97166014629447,NA,NA,0.713603654599068
ENSG00000001617,SEMA3F,-0.017269739491332,-0.048085111927574,-0.035022257659539,NA,0.54282542695918,0.627972523091941,0.450087835002212,0.394630615314628,0.661761021290695,0.747367133079389,0.745556778365023,-2.4561440545736,0.891433150071682,NA,1.21906037808125,NA,0.655333322159326,NA,NA,NA,NA,0.598584755186872,0.833176329740328,-0.0018,0.00208,NA,1.27893199097403,1.32593042858266,1.05737694680438,1.29201187696943,0.290018484741344,0.938046014749055,NA,0.927883410330707,0.77451696572855,0.724275869600789,0.839478047374198,0.876217840591642,0.816241299991783,0.783903579272735,0.82020145948564,0.847572659142112,0.900913067737669,0.845098040014257,0.716003343634799,0.724275869600789,0.856728890382883,0.791690649020118,NA,NA,0.830912120047573,-0.34745642860773,-0.31789040901169,0.377702148954561
ENSG00000001629,ANKIB1,0.004023165510923,-0.036904735896678,-0.005021236624596,0.780664985691573,NA,0.372730886493118,0.453471692322991,0.386465433511782,0.682983961845778,0.712265062898942,0.715920986911279,-2.47533812064792,NA,2.48149412151928,0.427276663904874,1.38481348045071,0.528433275759511,2.06927616654752,2.103553028323,2.6177467272255,2.6951397911801,0.620826358804831,0.770947095953877,1e-04,NA,0.724546734715656,1.06700170655119,0.897035535397734,0.939146867717601,0.88061466175147,0.653216227079904,NA,2.46538285144842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0960422914768295,-0.00979438481519337,1.15184296761047,NA,-0.473253965005486,0.747793765876119
ENSG00000001630,CYP51A1,0.024886838166964,0.003968444864982,-0.033946698732943,1.18935830648331,1.04296907339318,0.701485694428894,0.681995440212253,0.72504659064639,0.785500030855093,0.942562008238949,0.87301823459904,-2.93843618849845,NA,2.99531309727539,1.02837909669002,1.48014855444158,0.596475986229913,1.97481794983718,2.0556548060525,3.13503665338315,2.70243354003321,0.682644935128478,0.832816191475689,-0.0033,-0.00042,0.765914551044583,1.01724251960853,0.914131729280363,0.912851869494448,0.91281762502856,0.56714601613213,1.35073889030528,2.47436197603263,1.12254352406875,1.05346260492546,1.17983892802319,1.08026562733984,1.01994668167884,0.997823080745725,1.10957854690439,1.1360860973841,1.10957854690439,1.05918461763137,1.14426277376199,1.05994188806195,0.94299959336604,1.1156105116743,1.12417805547468,NA,NA,0.892222273070664,0.24625189746537,0.398448980002587,0.784560760641917
ENSG00000001631,KRIT1,0.001173634885585,0.037134044562797,0.056030230031679,0.932291961371559,0.471291711058939,0.529300842406504,0.489844339145777,0.557230175648466,0.897616646107675,0.942824057366655,1.0156991773034,NA,NA,2.27825562867731,0.314015430324566,NA,0.463587255378537,2.54254741268696,2.64267720341426,2.85829606181795,2.71334833407968,0.660524134906235,0.747079148630126,NA,0.00305,0.69477448508063,0.962123482600878,0.794198933835436,0.952789459456154,0.865313455360111,0.772024027671176,NA,2.84497393814689,0.737192642704737,0.694605198933569,0.856728890382883,0.737987326333431,0.621176281775035,0.657055852857104,0.691081492122968,0.618048096712093,0.644438589467838,0.600972895686748,0.637489729512511,0.671172842715083,0.854306041801081,0.708420900134713,0.491361693834273,NA,NA,0.340924583607809,NA,NA,0.0972425350979354
ENSG00000002016,RAD52,-0.069733209334988,0.179304112636238,0.0620857419008,0.911785162502995,0.409933123331295,0.0635738997267696,-0.0515273717355162,0.00855090634857024,0.392538855361468,NA,0.634337588268235,-2.23172584429575,1.19873216359932,NA,0.0770688314649303,NA,0.375623048161806,1.92279120737914,1.91905561316464,2.36399545728628,2.51207001466436,0.50426798735182,0.570830295520248,0.0058,NA,0.646858785683504,0.514110263721257,0.468439897357719,0.637680335406575,0.612269282708182,0.53101845938168,NA,NA,0.568201724066995,0.588831725594207,0.489958479424835,0.627365856592733,0.643452676486187,0.622214022966295,0.585460729508501,0.60422605308447,0.644438589467838,0.637489729512511,0.618048096712093,0.511883360978874,0.710963118995276,0.592176757395867,0.680335513414563,NA,NA,0.907334815001762,NA,-0.153878542012342,0.626514588414595
ENSG00000002330,BAD,0.036395095082048,-0.042712683710196,-0.042396783908491,NA,1.01283722470517,NA,1.16303786983809,NA,NA,NA,NA,-2.57708919905167,NA,NA,1.23608968292979,1.34151184686861,0.737043876181728,2.09950577159232,2.05866321755767,2.88236265451649,3.47760321890159,0.775842480353051,0.798651340623109,4e-04,0.00167,1.1097990178172,1.75024553876522,1.48120909833819,1.57918853077124,1.25029439709982,0.693428325779173,1.17298078302957,2.83790394459294,0.673941998634088,0.710963118995276,0.644438589467838,0.683947130751512,0.790988475088816,0.777426822389311,0.499687082618404,0.628388930050311,0.629409599102719,0.660865478003869,0.684845361644412,0.540329474790874,0.468347330412157,0.585460729508501,0.611723308007342,NA,NA,NA,NA,NA,NA
